Order_ID,Order_Date,City,Category,Distance_KM,Traffic_Level,Weather,Delivery_Partner,Order_Value,Preparation_Time,Expected_Delivery_Time,Actual_Delivery_Time,Delivery_Status,Delay_Minutes,Day_of_Week,Month
10001,2025-01-01,Hyderabad,Clothing,15.87,Medium,Rainy,Partner D,3395.77,15,66.74,89.74,Delayed,23.0,Wednesday,January
10002,2025-01-02,Pune,Beauty,9.85,High,Clear,Partner B,1573.88,16,55.7,78.7,Delayed,23.0,Thursday,January
10003,2025-01-03,Bangalore,Grocery,7.17,Low,Rainy,Partner B,2408.49,17,51.34,63.34,Delayed,12.0,Friday,January
10004,2025-01-04,Pune,Home & Kitchen,1.96,High,Clear,Partner A,1128.55,8,31.92,61.92,Delayed,30.0,Saturday,January
10005,2025-01-05,Pune,Beauty,9.81,Low,Rainy,Partner A,1209.79,11,50.620000000000005,72.62,Delayed,22.0,Sunday,January
10006,2025-01-06,Mumbai,Grocery,19.94,Medium,Cloudy,Partner C,310.63,6,65.88,88.88,Delayed,23.0,Monday,January
10007,2025-01-07,Bangalore,Grocery,28.21,Medium,Rainy,Partner C,4504.38,10,86.42,105.42,Delayed,19.0,Tuesday,January
10008,2025-01-08,Bangalore,Electronics,26.26,High,Cloudy,Partner C,1211.39,10,82.52000000000001,114.52000000000001,Delayed,32.0,Wednesday,January
10009,2025-01-09,Bangalore,Home & Kitchen,23.22,Medium,Clear,Partner C,1292.16,22,88.44,102.44,Delayed,14.0,Thursday,January
10010,2025-01-10,Pune,Electronics,23.86,Low,Rainy,Partner A,1542.09,24,91.72,111.72,Delayed,20.0,Friday,January
10011,2025-01-11,Hyderabad,Clothing,20.28,Low,Clear,Partner A,811.56,12,72.56,70.56,On Time,-2.0,Saturday,January
10012,2025-01-12,Bangalore,Electronics,8.55,High,Clear,Partner A,3268.46,12,49.1,73.1,Delayed,23.999999999999993,Sunday,January
10013,2025-01-13,Chennai,Electronics,27.31,Medium,Cloudy,Partner B,560.69,12,86.62,98.62,Delayed,12.0,Monday,January
10014,2025-01-14,Pune,Beauty,20.45,High,Cloudy,Partner B,844.17,12,72.9,104.9,Delayed,32.0,Tuesday,January
10015,2025-01-15,Mumbai,Grocery,17.25,Low,Rainy,Partner C,3294.83,5,59.5,77.5,Delayed,18.0,Wednesday,January
10016,2025-01-16,Hyderabad,Home & Kitchen,4.22,Medium,Clear,Partner B,1830.37,6,34.44,50.44,Delayed,16.0,Thursday,January
10017,2025-01-17,Chennai,Electronics,13.96,Low,Cloudy,Partner D,3598.15,16,63.92,61.92,On Time,-2.0,Friday,January
10018,2025-01-18,Chennai,Home & Kitchen,14.35,High,Cloudy,Partner A,2875.64,19,67.7,89.7,Delayed,22.0,Saturday,January
10019,2025-01-19,Mumbai,Electronics,26.07,Medium,Clear,Partner C,1428.9,8,80.14,85.14,Delayed,5.0,Sunday,January
10020,2025-01-20,Hyderabad,Clothing,16.85,High,Clear,Partner C,3323.97,29,82.7,105.7,Delayed,23.0,Monday,January
10021,2025-01-21,Pune,Electronics,12.03,Low,Clear,Partner D,758.11,7,51.06,61.06,Delayed,10.0,Tuesday,January
10022,2025-01-22,Delhi,Beauty,29.33,Medium,Clear,Partner B,2774.77,18,96.66,107.66,Delayed,11.0,Wednesday,January
10023,2025-01-23,Hyderabad,Grocery,4.21,Medium,Rainy,Partner C,2298.31,26,54.42,73.42,Delayed,19.0,Thursday,January
10024,2025-01-24,Mumbai,Clothing,13.25,Medium,Cloudy,Partner B,1485.79,27,73.5,89.5,Delayed,16.0,Friday,January
10025,2025-01-25,Chennai,Electronics,2.22,High,Cloudy,Partner B,3099.22,12,36.44,55.44,Delayed,19.0,Saturday,January
10026,2025-01-26,Pune,Home & Kitchen,22.46,High,Rainy,Partner D,4382.4,17,81.92,119.92,Delayed,38.0,Sunday,January
